Place,Type,Mass,Fell/found?,Year,Database,longitude,latitude
QUE 99831,LL5,9.7,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=22276,168,-84
MET 001032,H6,9.7,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=15528,159.75,-79.68333
MET 001083,LL5,9.7,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=15579,159.75,-79.68333
FRO 01077,H6,9.7,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=10260,160.41278,-72.95278
MET 01230,H5,9.7,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=16462,159.75,-79.68333
MET 01262,L5,9.7,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=16494,159.75,-79.68333
MET 01294,H6,9.7,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=16526,159.75,-79.68333
MAC 02753,L5,9.7,Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=15046,160.5,-84.21667
Ridgecrest,H5,9.69,Found,1958,http://www.lpi.usra.edu/meteor/metbull.php?code=22604,-117.56667,35.58333
A-881188,Stone-uncl,9.69,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=3897,26,-72
Y-790812,LL6,9.68,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=26161,35.66667,-71.5
Y-81032,H5,9.68,Found,1981,http://www.lpi.usra.edu/meteor/metbull.php?code=29093,35.66667,-71.5
GRV 022188,L6,9.68,Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=47917,75.292222,-72.781111
Y-790600,LL,9.67,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=25949,35.66667,-71.5
ALH 88092,H5,9.66,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=1136,159.33333,-76.71667
QUE 02187,L5,9.66,Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=18999,168,-84
Y-790969,L6,9.64,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=26318,35.66667,-71.5
Y-86309,H4,9.64,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=29815,35.66667,-71.5
A-87063,Stone-uncl,9.64,Found,1987,http://www.lpi.usra.edu/meteor/metbull.php?code=2420,26,-72
Y-86078,H4,9.63,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=29584,35.66667,-71.5
Y-86314,H4,9.63,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=29820,35.66667,-71.5
A-881676,Stone-uncl,9.63,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4385,26,-72
Sleeper Camp 010,H4-6,9.63,Found,1992,http://www.lpi.usra.edu/meteor/metbull.php?code=23636,126.42833,-30.15
MET 00968,L4,9.63,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=16202,155.75,-79.68333
Y-74558,H6,9.62,Found,1974,http://www.lpi.usra.edu/meteor/metbull.php?code=24936,35.66667,0
